sp;site;orig;ID;TD;PD;TO;PO;trt;sm;doy.bs;s.ter;dogs.bs;doy.bp;s.ter;dogs.bp;doy.f;s.ter;dogs.f;doy.s;s.ter;dogs.s;doy.rs;s.ter;dogs.rs
RAN;GUD;GUD;G_C_1;5.87;1925;5.87;1925;c;184;190;68.17707117;6;203;154.9460485;19;222;299.1330078;38;231;395.2349098;47;245;528.1276801;61
RAN;GUD;GUD;G_C_4;5.87;1925;5.87;1925;c;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;GUD;GUD;G_P_1;5.87;1925;5.87;1925;c;184;209;194.8260266;25;217;255.0896021;33;239;487.9092592;55;245;528.1276801;61;NA;NA;NA
RAN;GUD;GUD;G_P_4;5.87;1925;5.87;1925;c;184;231;395.2349098;47;239;487.9092592;55;245;528.1276801;61;250;557.717762;66;NA;NA;NA
RAN;GUD;GUD;G_P_2;5.87;1925;5.87;1925;c;184;NA;NA;NA;239;487.9092592;55;NA;NA;NA;265;668.5964918;81;NA;NA;NA
RAN;GUD;GUD;G_C_5;5.87;1925;5.87;1925;c;184;231;395.2349098;47;239;487.9092592;55;NA;NA;NA;265;668.5964918;81;NA;NA;NA
RAN;GUD;GUD;G_C_3;5.87;1925;5.87;1925;c;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;GUD;GUD;G_P_5;5.87;1925;5.87;1925;c;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;GUD;GUD;G_C_2;5.87;1925;5.87;1925;c;184;203;154.9460485;19;217;255.0896021;33;231;395.2349098;47;239;487.9092592;55;NA;NA;NA
RAN;GUD;GUD;G_P_3;5.87;1925;5.87;1925;c;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;GUD;GUD;G_C_3;5.87;1925;5.87;1925;c;184;NA;NA;NA;217;255.0896021;33;231;395.2349098;47;239;487.9092592;55;245;528.1276801;61
RAN;GUD;GUD;G_P_4;5.87;1925;5.87;1925;c;184;217;255.0896021;33;231;395.2349098;47;239;487.9092592;55;NA;NA;NA;NA;NA;NA
RAN;GUD;GUD;G_P_3;5.87;1925;5.87;1925;c;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;GUD;GUD;G_P_1;5.87;1925;5.87;1925;c;184;NA;NA;NA;217;255.0896021;33;231;395.2349098;47;239;487.9092592;55;NA;NA;NA
RAN;GUD;GUD;G_P_2;5.87;1925;5.87;1925;c;184;217;255.0896021;33;231;395.2349098;47;239;487.9092592;55;250;557.717762;NA;NA;NA;NA
RAN;GUD;GUD;G_C_1;5.87;1925;5.87;1925;c;184;NA;NA;NA;217;255.0896021;33;239;487.9092592;55;245;528.1276801;61;NA;NA;NA
RAN;GUD;GUD;G_C_4;5.87;1925;5.87;1925;c;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;GUD;GUD;G_C_2;5.87;1925;5.87;1925;c;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;GUD;GUD;G_P_5;5.87;1925;5.87;1925;c;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;GUD;GUD;G_C_5;5.87;1925;5.87;1925;c;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;GUD;GUD;G_C_4;5.87;1925;5.87;1925;c;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;GUD;GUD;G_C_3;5.87;1925;5.87;1925;c;184;NA;NA;NA;209;194.8260266;25;231;395.2349098;47;239;487.9092592;55;245;528.1276801;61
RAN;GUD;GUD;G_P_2;5.87;1925;5.87;1925;c;184;217;255.0896021;33;222;299.1330078;38;239;487.9092592;55;245;528.1276801;61;NA;NA;NA
RAN;GUD;GUD;G_P_4;5.87;1925;5.87;1925;c;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;GUD;GUD;G_C_5;5.87;1925;5.87;1925;c;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;GUD;GUD;G_P_3;5.87;1925;5.87;1925;c;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;GUD;GUD;G_C_2;5.87;1925;5.87;1925;c;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;GUD;GUD;G_C_1;5.87;1925;5.87;1925;c;184;217;255.0896021;33;222;299.1330078;38;239;487.9092592;55;NA;NA;NA;NA;NA;NA
RAN;GUD;GUD;G_P_1;5.87;1925;5.87;1925;c;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;GUD;GUD;G_P_5;5.87;1925;5.87;1925;c;184;NA;NA;NA;231;395.2349098;47;245;528.1276801;61;NA;NA;NA;NA;NA;NA
RAN;RAM;GUD;G_C_14;8.77;1848;5.87;1925;wa;167;189;236.3819799;22;203;348.5293688;36;210;414.2370362;43;223;538.3087714;56;246;822.8811215;79
RAN;RAM;RAM;R_P_4;8.77;1848;8.77;1848;c;167;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;RAM;GUD;G_C_12;8.77;1848;5.87;1925;wa;167;189;236.3819799;22;203;348.5293688;36;210;414.2370362;43;223;538.3087714;56;246;822.8811215;79
RAN;RAM;GUD;G_C_2;8.77;1848;5.87;1925;wa;167;NA;NA;NA;189;236.3819799;22;210;414.2370362;43;217;476.0450521;50;246;822.8811215;79
RAN;RAM;GUD;G_C_3;8.77;1848;5.87;1925;wa;167;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;RAM;GUD;G_C_13;8.77;1848;5.87;1925;wa;167;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;RAM;GUD;G_P_4;8.77;1848;5.87;1925;wa;167;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RAN;RAM;GUD;G_C_4;8.77;1848;5.87;1925;wa;167;203;NA;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
