sp;site;orig;ID;ind;blk;trt;DOY;size_end;Torig;Porig;Tdest;Pdest
RAN;GUD;GUD;G_C_1;g1;g1;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_4;g2;g1;c;245;2;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_1;g3;g1;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_4;g4;g1;c;245;2.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_2;g5;g1;c;245;2;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_5;g6;g1;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_3;g7;g1;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_5;g8;g1;c;245;3.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_2;g9;g1;c;245;3.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_3;g10;g1;c;245;3.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_3;g11;g2;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_4;g12;g2;c;245;2;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_3;g13;g2;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_1;g14;g2;c;245;2.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_2;g15;g2;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_1;g16;g2;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_4;g17;g2;c;245;1.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_2;g18;g2;c;245;2.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_5;g19;g2;c;245;2;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_5;g20;g2;c;245;2.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_4;g21;g3;c;245;2.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_3;g22;g3;c;245;4;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_2;g23;g3;c;245;2.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_4;g24;g3;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_5;g25;g3;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_3;g26;g3;c;245;1.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_2;g27;g3;c;245;1.5;5.87;1925;5.87;1925
